Fri,Mon,Sat,Thu,Tue,Wed,building,call,inst,name,number,room
,,,,,,,12721,Amir Ziv and Felicia C Goodman and Jessica Soursourian,Accounting I: Financial Accoun Section 200,Accounting B5001,
,,,,,,,14424,Faculty and Felicia C Goodman and Jessica Soursourian,Financial Statement Analysis Section 300,Accounting B5909,
,,,2:15pm-3:45pm,2:15pm-3:45pm,2:15pm-3:45pm,W & J Warren Hall,64956,Mortiz Hiemannn,Accounting I: Financial Accoun Section 001,Accounting B6001,207
,,,4:00pm-5:30pm,4:00pm-5:30pm,4:00pm-5:30pm,W & J Warren Hall,20398,Mortiz Hiemannn,Accounting I: Financial Accoun Section 002,Accounting B6001,207
,,,10:45am-12:15pm,10:45am-12:15pm,10:45am-12:15pm,W & J Warren Hall,71435,Mortiz Hiemannn,Accounting I: Financial Accoun Section 003,Accounting B6001,207
,,,,,,,11070,Jonathan Glover and Felicia C Goodman and Jessica Soursourian,Earnings Quality & Fundamental Section 001,Accounting B7008,
,,,,,,,71018,Shivaram Rajgopal and Felicia C Goodman and Jessica Soursourian,Fundamental Analysis for Inves Section 001,Accounting B7010,
,,,,,,,27677,Doron Nissim and Felicia C Goodman and Jessica Soursourian,Fundamental Analysis Section 001,Accounting B7021,
,,,10:45am-12:15pm,10:45am-12:15pm,,Uris Hall,13085,Fabrizio Ferri,Financial Planning & Analysis Section 001,Accounting B8007,333
,,,2:15pm-3:45pm,2:15pm-3:45pm,,Uris Hall,73033,Fabrizio Ferri,Financial Planning & Analysis Section 002,Accounting B8007,333
,,,4:00pm-5:30pm,4:00pm-5:30pm,,Uris Hall,64122,Fabrizio Ferri,Financial Planning & Analysis Section 003,Accounting B8007,333
,,,10:45am-12:15pm,10:45am-12:15pm,,Uris Hall,20780,Jonathan Glover,Earnings Quality & Fundamental Section 001,Accounting B8008,326
,,,2:15pm-3:45pm,2:15pm-3:45pm,,Uris Hall,11869,Jonathan Glover,Earnings Quality & Fundamental Section 002,Accounting B8008,326
9:00am-12:15pm,9:00am-12:15pm,,,,,W & J Warren Hall,71817,Sharon P Katz,Financial Statement Analysis a Section 001,Accounting B8009,209
2:15pm-5:30pm,2:15pm-5:30pm,,,,,W & J Warren Hall,28476,Sharon P Katz,Financial Statement Analysis a Section 002,Accounting B8009,209
9:00am-12:15pm,9:00am-12:15pm,,,,,Uris Hall,62906,Shivaram Rajgopal,Fundamental Analysis for Inves Section 001,Accounting B8010,331
,,,,9:00am-12:15pm,,W & J Warren Hall,19564,Anne Heinrichs,Corporate Transactions and Fin Section 001,Accounting B8019,416
,,,,2:15pm-5:30pm,,W & J Warren Hall,10653,Anne Heinrichs,Corporate Transactions and Fin Section 002,Accounting B8019,416
,,,,5:45pm-9:00pm,,W & J Warren Hall,70601,Anne Heinrichs,Corporate Transactions and Fin Section 003,Accounting B8019,416
10:45am-2:00pm,10:45am-2:00pm,,,,,Uris Hall,27260,Stephen H Penman,Accounting for Value Section 001,Accounting B8022,332
,,,,,10:45am-2:00pm,Uris Hall,61690,Stephen H Penman,Accounting for Value Section 002,Accounting B8022,332
,,,,9:00am-12:15pm,,Uris Hall,19652,Shivaram Rajgopal,Topics in Accounting Research Section 001,Accounting B9019,305
